tipo_construccion,n_piso,lat,long,nombre,area_construida
Mampostería no reforzada,2,6.276391859190763,-75.62559714736192,Zona urbana,60.0
Mampostería no reforzada,3,6.276356980944051,-75.62549641478459,Zona urbana,50.0
Mampostería no reforzada,3,6.276387615045632,-75.62547122309313,Zona urbana,40.0
Mampostería no reforzada,3,6.276444944588649,-75.62546538587699,Zona urbana,40.0
Mampostería no reforzada,3,6.277022308899107,-75.62522109200854,Zona urbana,50.0
Mampostería no reforzada,3,6.277022117876086,-75.62526759377515,Zona urbana,32.0
Mampostería no reforzada,3,6.277016119086224,-75.62529441586463,Zona urbana,34.0
Mampostería no reforzada,3,6.276990790861661,-75.62533733120782,Zona urbana,34.0
Mampostería confinada,2,6.2770330861136605,-75.6253889070071,Zona urbana,34.0
Mampostería no reforzada,3,6.27701908893753,-75.62543383400701,Zona urbana,43.2
Mampostería no reforzada,1,6.277045750225077,-75.62549016039492,Zona urbana,34.0
Mampostería no reforzada,3,6.277079842319635,-75.62559299342804,Zona urbana,40.0
Mampostería no reforzada,3,6.277062274646637,-75.62555460519717,Zona urbana,38.0
Mampostería no reforzada,3,6.277105095113604,-75.62569843715946,Zona urbana,42.0
Mampostería no reforzada,2,6.277108427774063,-75.62572995311461,Zona urbana,36.0
Mampostería no reforzada,2,6.277123300861722,-75.62575905480291,Zona urbana,42.0
Mampostería no reforzada,2,6.2771279665862085,-75.62580062904162,Zona urbana,38.0
Mampostería no reforzada,2,6.277157960528324,-75.62581605174307,Zona urbana,34.0
Mampostería no reforzada,3,6.27717143984775,-75.62584065221183,Zona urbana,33.0
Mampostería no reforzada,3,6.277198101127497,-75.62586412154013,Zona urbana,38.0
Mampostería no reforzada,3,6.277191435807684,-75.62590100191318,Zona urbana,38.5
Mampostería no reforzada,1,6.278461776442479,-75.62661038339174,Zona urbana,260.0
Mampostería confinada,3,6.279004639660203,-75.62866605905867,Zona urbana,70.0
Mampostería confinada,4,6.279012183333828,-75.628667996722,Zona urbana,60.0
Mampostería confinada,3,6.279020156177889,-75.628723900303,Zona urbana,84.0
Mampostería no reforzada,2,6.279020156178259,-75.62879296718397,Zona urbana,84.0
Pórticos de concreto,3,6.279052580915205,-75.62916077419084,Zona urbana,60.0
Mampostería confinada,3,6.279037457883199,-75.62931052066115,Zona urbana,84.0
Pórticos de concreto,2,6.279036025543845,-75.62937833752943,Zona urbana,66.0
Mampostería no reforzada,3,6.279010984079681,-75.62942999358452,Zona urbana,112.0
Mampostería no reforzada,3,6.278949093745458,-75.62980022436585,Zona urbana,90.0
Mampostería no reforzada,2,6.278896731195058,-75.62984457359435,Zona urbana,96.0
Mampostería no reforzada,1,6.2789044729353725,-75.62992401218098,Zona urbana,126.0
Mampostería no reforzada,3,6.278871509701272,-75.63021653309717,Zona urbana,88.0
Mampostería no reforzada,1,6.2787243388119425,-75.63025645076435,Zona urbana,120.0
Mampostería confinada,2,6.277855551605133,-75.63610722286147,Zona urbana,126.0
Mampostería confinada,2,6.277894565033576,-75.63591406597806,Zona urbana,136.0
Mampostería no reforzada,2,6.277886562070425,-75.63584461777823,Zona urbana,112.0
Pórticos de concreto,4,6.278734447140058,-75.63622902337856,Zona urbana,165.0
Mampostería no reforzada,2,6.2785158654655016,-75.63625217584737,Zona urbana,77.0
Pórticos de concreto,2,6.278547021414568,-75.63614330069412,Zona urbana,63.0
Mampostería no reforzada,3,6.278588189837073,-75.6360676350981,Zona urbana,96.0
Mampostería confinada,3,6.278593522078637,-75.63600728539676,Zona urbana,84.0
Mampostería no reforzada,3,6.278600289502041,-75.635911262044,Zona urbana,64.0
Mampostería no reforzada,2,6.278633616010078,-75.63586432338741,Zona urbana,72.0
Mampostería no reforzada,2,6.2786404892224965,-75.6357962153886,Zona urbana,66.0
Mampostería no reforzada,3,6.278672820741239,-75.63571352332416,Zona urbana,80.0
Mampostería no reforzada,3,6.278733920423564,-75.63554996404895,Zona urbana,90.0
Mampostería confinada,4,6.279300171356171,-75.63572596619582,Zona urbana,98.0
Mampostería confinada,3,6.279246996793164,-75.63610071110544,Zona urbana,84.0
Mampostería no reforzada,2,6.279242379737476,-75.63617526483861,Zona urbana,40.0
Mampostería no reforzada,2,6.279224040977047,-75.63633892628653,Zona urbana,48.0
Mampostería no reforzada,2,6.2791660529163655,-75.63633423242074,Zona urbana,98.0
Mampostería no reforzada,3,6.279102940669164,-75.63633672523538,Zona urbana,97.5
Mampostería no reforzada,1,6.279029980408684,-75.63634646400406,Zona urbana,65.0
Mampostería no reforzada,1,6.278994527983382,-75.6363482041037,Zona urbana,55.0
Mampostería no reforzada,2,6.278945172743589,-75.63633454782645,Zona urbana,55.0
Pórticos de concreto,2,6.278865855697596,-75.63646530551371,Zona urbana,182.0
Mampostería confinada,3,6.278766315249415,-75.63643949050945,Zona urbana,65.0
Mampostería no reforzada,4,6.2787012227993,-75.63643982452972,Zona urbana,80.0
Mampostería no reforzada,3,6.278652643162765,-75.63654980309447,Zona urbana,45.0
Mampostería no reforzada,3,6.279295586822506,-75.63945686355761,Zona urbana,84.0
Mampostería no reforzada,2,6.2794068972033665,-75.63943071202046,Zona urbana,60.0
Mampostería no reforzada,2,6.279407108239619,-75.63964994199262,Zona urbana,70.0
Mampostería no reforzada,1,6.27937974637357,-75.6395816951436,Zona urbana,42.0
Mampostería no reforzada,3,6.279472207317996,-75.63941869308721,Zona urbana,55.0
Mampostería no reforzada,2,6.279510866002396,-75.63939857652103,Zona urbana,60.0
Mampostería no reforzada,2,6.279556843484123,-75.63938152268065,Zona urbana,66.0
Mampostería no reforzada,3,6.279610165798017,-75.639376158263,Zona urbana,85.5
Mampostería no reforzada,2,6.279982826871098,-75.63922097421154,Zona urbana,66.0
Mampostería no reforzada,2,6.280040148311412,-75.63928601777553,Zona urbana,62.4
Mampostería confinada,4,6.281692986701866,-75.64303818260015,Zona urbana,54.0
Mampostería no reforzada,2,6.281717288778576,-75.64309999511167,Zona urbana,77.0
Mampostería no reforzada,2,6.281784812348763,-75.64323117671609,Zona urbana,60.0
Pórticos de concreto,5,6.281991634616025,-75.64333214640402,Zona urbana,160.0
Mampostería no reforzada,2,6.282007348289465,-75.64345912903543,Zona urbana,70.0
Mampostería no reforzada,2,6.282054001131497,-75.64351607165244,Zona urbana,49.0
Mampostería no reforzada,2,6.2820691784221,-75.64354963750733,Zona urbana,49.0
Pórticos de concreto,3,6.2821728172500055,-75.64392339739433,Zona urbana,80.0
Mampostería confinada,2,6.2820970038120345,-75.64378677171953,Zona urbana,108.0
Mampostería no reforzada,3,6.282061677948447,-75.64370697600701,Zona urbana,42.0
Mampostería confinada,5,6.2819880497888505,-75.64369155075673,Zona urbana,60.0
Mampostería confinada,2,6.282191478939911,-75.64422276600489,Zona urbana,42.0
Mampostería no reforzada,2,6.2789907942809435,-75.64174817867281,Zona urbana,60.0
Mampostería confinada,3,6.279039701224035,-75.64173201122676,Zona urbana,40.0
Mampostería confinada,2,6.279080359529257,-75.64175682165954,Zona urbana,49.5
Mampostería no reforzada,3,6.279134767960158,-75.64173570883283,Zona urbana,88.0
Mampostería no reforzada,2,6.279212609991781,-75.64172419619089,Zona urbana,160.0
Pórticos de concreto,3,6.279877490415694,-75.64191413470022,Zona urbana,120.0
Mampostería no reforzada,2,6.29076427135753,-75.64301517469458,Zona urbana,100.0
Mampostería no reforzada,1,6.290550767889982,-75.64307436282974,Zona rural,110.0
