id,cod_mnz,lat,lon,taxonomy,n_piso,estrato,number,area_construida,val_fisico_millones_COP,ocupacion,fid,OBJECTID,codigo,nombre,limitecomunacorregimientoid,Shape_Length,Shape_Area,tipo_construccion,area_number
24357,5.00110000000007e+20,6.276454,-75.592667,CR/PRM/ND/H:2,2,3,1,180.58,446.036873726667,2,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,180.58
24358,5.00110000000007e+20,6.276371,-75.592409,CR/PRM/ND/H:2,2,4,4,715.9,2348.8004218359,8,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,178.975
24359,5.00110000000007e+20,6.275904,-75.593174,CR/PRM/ND/H:3,3,4,2,30221.04,99152.3837132554,243,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,15110.52
24360,5.00110000000007e+20,6.276149,-75.592667,MA/MNR/ND/H:1,1,4,1,56.44,146.661071326978,1,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Mampostería no reforzada,56.44
24361,5.00110000000007e+20,6.276439,-75.592376,MA/MNR/ND/H:2,2,4,38,16370.9,41693.6939423327,193,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Mampostería no reforzada,430.81315789473683
24455,5.00110000000007e+20,6.277285,-75.595329,CR/PRM/ND/H:1,1,3,2,501.77,979.750022863461,17,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,250.885
24456,5.00110000000007e+20,6.277181,-75.595467,CR/PRM/ND/H:2,2,3,1,496.02,1225.18113914,8,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,496.02
24457,5.00110000000007e+20,6.277026,-75.595634,CR/PRM/ND/H:3,3,1,1,469.74,832.270939803458,5,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,469.74
24458,5.00110000000007e+20,6.27711,-75.595383,CR/PRM/ND/H:3,3,3,3,2274.69,5618.53813433,25,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,758.23
24459,5.00110000000007e+20,6.276402,-75.593887,CR/PRM/ND/H:5,5,4,1,23797.45,70979.2640998436,156,3,15,0716,Palenque,07,4154.88199150215,382401.188695367,Pórticos de concreto,23797.45
